orgao,url,nome_da_autoridade,endereco,cep,municipio,uf,ddd,telefone,contato
HC-UFG – Hospital das Clínicas da UFG,http://www.ebserh.gov.br/web/hc-ufg,Sérgio Braz da Silva,"Primeira Avenida, s/n, Setor Universitário",74605020,Goiânia,GO,62,32698264,informacao.hcufg@ebserh.gov.br
HC-UFPE – Hospital das Clínicas da UFPE,http://www.ebserh.gov.br/web/hc-ufpe,ISABEL CRISTINA DE FREITAS BARROS,AV. PROF. MORAES REGO S/N - CIDADE UNIVERSITÁRIA,50670420,Recife,PE,81,21263645,ouvidoriahc@ufpe.br
HC-UFTM – Hospital de Clínicas da UFTM,http://www.uftm.edu.br/hc/acessoainformacao/,Evandro Donizeti de Souza,"Av Getulio Guarita, 130, Abadia",38025440,Uberaba,MG,34,33185000,ouvidoria@hc.uftm.edu.br
HEMOBRÁS – Empresa Brasileira de Hemoderivados e Biotecnologia,http://www.hemobras.gov.br,José Manoel do Nascimento,"Avenida Engenheiro Antônio de Góes, nº 60 (JCPM Trade Center), 11º andar, Pina",51010000,Recife,PE,81,34649603,sic@hemobras.gov.br
HFA – Hospital das Forças Armadas,http://www.hfa.mil.br/acessoainformacao/inicio/iniciolai.html,ANDRÉ LUIZ PASCHOAL,"Setor HFA, s/n - Sudoeste",70673900,Brasília,DF,61,39662502,comunicacaosocial@hfa.mil.br
HNSC – Hospital Nossa Senhora da Conceição S.A.,http://www.ghc.com.br/,Lilian Souza Strohmeier,"Av. Francisco Treim, 596 - Cristo Redentor",91350200,Porto Alegre,RS,51,33572099,cgabriel@ghc.com.br
Hospital das Clínicas da UFMG,,Patrícia Campos Chaves,"Av. Alfredo Balena, 110 - Bairro Santa Efigênia",30110100,Belo Horizonte,MG,31,34099044,ouvidoriahc@hc.ufmg.br
Hospital Escola da UFPEL,http://www.heufpel.com.br,Carla Regina Carvalho de Carvalho,"Professor Araújo, 538",96020360,Pelotas,RS,53,32844900,direcao.he@heufpel.com.br
HU/FUFMA - Hospital Universitário,http://www.huufma.br,PEDRO GERMANO NOBRE NETO,"Rua Barão de Itapary, nº 227, Centro",65020070,São Luís,MA,98,21091000,huufma@huufma.br
HU/UFGD – Hospital Universitário da Universidade Federal da Grande Dourados,http://www.hu.ufgd.edu.br,Edméia Barrios de Azambuja Gonçalves,"Rua Ivo Alves da Rocha, 558",79823501,Dourados,MS,67,34103001,ouvidoria.hu@ufgd.edu.br
HU/UFPI – Hospital Universitário da Universidade Federal do Piauí,http://www.ufpi.edu.br,Leila Leal Leite,"Campus Universitário Ministro Petrônio Portella, Bairro Ininga, sem número",64049550,Teresina,PI,86,32372060,ouvidoria.hupi@ebserh.gov.br
HU/UFS - Hospital Universitário da Universidade Federal de Sergipe,http://www.hospital.ufs.br,Jucélia Coutinho Barros Macedo,Rua Cláudio Batista s/n Bairro Cidade Nova,49060108,Aracaju,SE,79,21051859,ouvidoriahu@ufs.br
HUAB - UFRN - Hospital Universitário Ana Bezerra,http://www.ebserh.gov.br/web/huab-ufrn,DENISE SOARES DE ALMEIDA,"RUA PRAÇA TEQUINHA DE FARIAS, 13, CENTRO.",59200000,Santa Cruz,RN,84,32912324,denise.almeida@ebserh.gov.br
HUB – Hospital Universitário de Brasília,http://www.hub.ebserh.gov.br,Paulo Rodrigo Ribeiro Guimarães,"SGAN 604/605 Av. L2 Norte, Unidade 1, Asa Norte",70830200,Brasília,DF,61,20285045,ouvidoria.hub@ebserh.gov.br
HUCAM - Hospital Universitário Cassiano Antonio de Moraes,http://www.ebserh.gov.br/web/hucam-ufes,Janildes Inácio dos Santos,"Avenida Marechal Campos, 1355,  Santa Cecília",29043260,Vitória,ES,27,33357443,ouvidoria.hucam@gmail.com
HUGV-UFAM – Hospital Universitário Getúlio Vargas,http://www.hugv.ufam.edu.br,Itaciara de Oliveira Andrade,"Rua Apurinã, 04 - Praça 14 de Janeiro/Centro",69020170,Manaus,AM,92,33054813,ouvidoriahugv@ufam.edu.br
HUJBB - Hospital Universitário João de Barros Barreto,http://www.barrosbarreto.ufpa.br,José Pereira e Silva Neto,"Rua do Mundrucus, 4487 Guamá",66073000,Belém,PA,91,32016750,pereira.neto@ebserh.gov.br
HUJM-UFMT – Hospital Universitário Julio Muller,http://www.hujm.ufmt.edu,Jovanildes Fátima Silva,Rua Luiz Phelippe Pereira Leite,78048902,Cuiabá,MT,65,36157205,ouvidoria.hujm@ebserh.gov.br
HULW - Hospital Universitário Lauro Wanderley,http://www.hulw.ufpb.br,Maria José de Lima Marinho Brasileiro,Campus I – Cidade Universitária S/N,58050000,João Pessoa,PB,83,32167980,ouvidoria@hulw.ufpb.br
HUOL – Hospital Universitário Onofre Lopes,http://www.huol.ufrn.br,Nelma Gomes Bezerra,"Av. Nilo Peçanha, 620, Petrópolis",59012300,Natal,RN,84,33425000,ouvidoria@huol.ufrn.br
HUPAA - Hospital Universitário Prof. Alberto Antunes,http://www.ebserh.gov.br/web/hupaa-ufal/ouvidoria,Giselle de Souza Vicente,"Av. Lourival Melo Mota, s/n, Cidade Universitária",57072900,Maceió,AL,82,32023877,ouvidoria.hupaa@ebserh.gov.br
HUPES - Complexo Hospitalar Universitário Professor Edgard Santos,http://www.complexohupes.ufba.br/,Maralba Oliveira Santos Jordão,"Rua Augusto Viana s/n Canela – -Ba, CEP:",40110060,Salvador,BA,71,32838179,ouvidoria@hupes.ufba.br
HUSM-UFSM - Hospital Universitário de Santa Maria,http://www.ebserh.gov.br/web/husm-ufsm,Angelino Roberto França Moreira,"Av. Roraima, prédio 22, Campus Universitário, Bairro: Camobi - Santa Maria, RS",97105900,Santa Maria,RS,55,32131422,angelino.moreira@ebserh.gov.br
HU-UFJF - Hospital Universitário da Universidade Federal de Juiz de Fora,http://www.ufjf.br/hu/,Rejane Guingo Martins Ribeiro,Av. Eugênio do Nascimento s/nº,36038330,Juiz de Fora,MG,32,40095344,rejane.guingo@ufjf.edu.br
HUWC - Hospital Universitário Walter Cantídio,http://www.huwc.ufc.br,ROSA ÂNGELA DE BRITO FALCÃO,"Rua Capitão Francisco Pedro, 1290- Bairro Rodolfo Teófilo",60430372,Fortaleza,CE,85,33668620,ouvidoria@huwc.ufc.br
IBAMA – Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis,http://www.ibama.gov.br,Luis Henrique delmont,"Setor de Clube Esportivos Norte – SCEN, Trecho 2 Edifício Sede IBAMA",70818900,Brasília,DF,61,33161380,sic@ibama.gov.br
IBC – Instituto Benjamin Constant,http://www.ibc.gov.br/?catid=166&blogid=1&itemid=10281,Ana Lucia Oliveira da Silva,Avenida Pasteur 350/368 - Bairro Urca,22290240,Rio de Janeiro,RJ,21,34784447,sic@ibc.gov.br
IBGE – Fundação Instituto Brasileiro de Geografia e Estatística,http://www.ibge.gov.br/acesso/,Walid Nemer Damous Sobrinho,"Av. Franklin Roosevelt 166 202, Centro",20021120,Rio de Janeiro,RJ,21,21424629,sic@ibge.gov.br
IBICT – Instituto Brasileiro de Informação em Ciência e Tecnologia,http://www.ibict.br/servico-de-informacao-ao-cidadao-1,José Luís dos Santos Nascimento,SAS Quadra 05 Bloco H Lote 06 Asa Sul,70070912,Brasília,DF,11,32176110,sic@ibict.br
IBRAM – Instituto Brasileiro de Museus,http://www.museus.gov.br/Acessoainformacao,Ana Carolina S. Paulo,"Setor Bancário Norte, Quadra 2 Bloco N",70040020,Brasília,DF,61,35214032,sic@museus.gov.br
ICMBio – Instituto Chico Mendes de Conservação da Biodiversidade,http://www.icmbio.gov.br/acessoainformacao,José Carlos Moreira Pereira,EQSW 103/104 Complexo Administrativo Sudoeste - Bloco B - Térreo,70670350,Brasília,DF,61,33419106,sic@icmbio.gov.br
"IF BAIANO – Instituto Federal de Educação, Ciência e Tecnologia Baiano",https://www.ifbaiano.edu.br,Tamilis Mota Cerqueira,"Rua do Rouxinol, 115 - Bairro IMBUI",41720052,Salvador,BA,71,31860023,sic.ifbaiano@ifbaiano.edu.br
"IF FLUMINENSE – Instituto Federal de Educação, Ciência e Tecnologia Fluminense",http://www.iff.edu.br/acesso-a-informacao,Vinícius Chrysóstomo Silva,"Rua Coronel Walter Kramer, 357 - Parque Santo Antônio",28080565,Campos dos Goytacazes,RJ,22,27375618,sic@iff.edu.br
"IF GOIANO – Instituto Federal de Educação, Ciência e Tecnologia Goiano",http://www.ifgoiano.edu.br/home/?page_id=8707,Mariana Pirkel Tsukahara,RUA 0028A,74085010,Goiânia,GO,62,36053600,sic@ifgoiano.edu.br
"IFAC – Instituto Federal de Educação, Ciência e Tecnologia do Acre",http://www.ifac.edu.br/acessoainformação,Gírlen Nunes dos Santos,"Rua Cel. José Galdino, 495 - Bairro Bosque",69900640,Rio Branco,AC,68,21066863,sic@ifac.edu.br
"IFAL – Instituto Federal de Educação, Ciência e Tecnologia de Alagoas",http://www.ifal.edu.br,JOSÉ MAURÍCIO PEREIRA PINTO,"Rua Odilon Vasconcelos, Nº 103, Jatiuca, Maceió, Alagoas",57035350,Maceió,AL,82,31941185,mauricio.pereira@ifal.edu.br
"IFAM – Instituto Federal de Educação, Ciência e Tecnologia do Amazonas",http://www.ifam.edu.br/acessoinformacao,Reginaldo da Conceição Gomes,Rua Ferreira Pena. 1009,69025010,Manaus,AM,92,33060058,ouvidoria@ifam.edu.br
"IFAP – Instituto Federal de Educação, Ciência e Tecnologia do Amapá",http://www.ifap.edu.br,Silmara da Silva Lobato,"Rodovia BR 210, KM 03 S/N, Brasil Novo",68909398,Macapá,AP,96,91719824,sic@ifap.edu.br
"IFB – Instituto Federal de Educação, Ciência e Tecnologia de Brasília",http://www.ifb.edu.br/,Kattiucy Sousa Costa Trajano,"SGAN 610, Módulos D, E, F e G",70810100,Brasília,DF,61,21032107,ouvidoria@ifb.edu.br
"IFBA – Instituto Federal de Educação, Ciência e Tecnologia da Bahia",http://www.ifba.edu.br/institucional/acesso-a-informacao.html,Anilson Roberto Cerqueira Gomes,"Av. Araújo Pinho, 39",40110150,Salvador,BA,71,21020461,anilson@ifba.edu.br
"IFC – Instituto Federal de Educação, Ciência e Tecnologia Catarinense",http://www.ifc.edu.br,Karin Tyeko Anami,Rua das Missões nº 100 - Edificio das Missões - Bairro Ponta Aguda,89051000,Blumenau,SC,47,33317802,karin.anami@ifc.edu.br
"IFCE – Instituto Federal de Educação, Ciência e Tecnologia do Ceará",http://www.ifce.edu.br/informacao.html,Ivam Holanda de Souza,"Rua Jorge Dummar, 1703 - Jardim América",60410426,Fortaleza,CE,85,34012333,sic@ifce.edu.br
"IFES – Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo",http://www.ifes.edu.br,José Maurício Rodrigues,"Av. Rio Branco, 50, Bairro Santa Lucia",29056255,Vitória,ES,27,33577500,ouvidoria@ifes.edu.br
"IFFAR – Instituto Federal de Educação, Ciência e Tecnologia Farroupilha",http://www.iffarroupilha.edu.br/acessoainformacao,TIAGO BENETTI,"Rua Esmeralda, nº 430 - Faixa Nova - Bairro Camobi",97110767,Santa Maria,RS,55,32189800,sic@iffarroupilha.edu.br
"IFG – Instituto Federal de Educação, Ciência e Tecnologia de Goiás",http://www.ifg.edu.br/sic,Gerley Lopes Cardoso,"Avenida Assis Chateaubriand, nº 1.658. - Bairro Setor Oeste",74130012,Goiânia,GO,62,36122222,sic@ifg.edu.br
"IFMA – Instituto Federal de Educação, Ciência e Tecnologia do Maranhão",http://www.ifma.edu.br,Rebeca Reis Carvalho,"Av. Marechal Castelo Branco, nº 789 - São Francisco - São Luís-MA",65076091,São Luís,MA,98,32151809,gabinete@ifma.edu.br
"IFMG – Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais",http://www.ifmg.edu.br/index.php/acesso-a-informacao,ÂNGELA RANGEL FERREIRA TESSER,"AV.PROFESSOR MÁRIO WERNECK, 2590",30575180,Belo Horizonte,MG,31,25135103,sic@ifmg.edu.br
"IFMGSE – Instituto Federal de Educação, Ciência e Tecnologia do Sudeste de Minas Gerais",http://www.ifsudestemg.edu.br/Acesso,Gislene Gomes de Queiroz Silva,"Av. Luz Interior, lote 16, Quadra G, 9º andar",36030776,Juiz de Fora,MG,32,32574125,sic@ifsudestemg.edu.br
"IFMS – Instituto Federal de Educação, Ciência e Tecnologia do Mato Grosso do Sul",http://www.ifms.edu.br/acessoainformacao,Jane Amaral de Castro,"Rua Ceará, 972, Bairro Santa Fé",79021000,Campo Grande,MS,67,33789501,sic@ifms.edu.br
"IFMT – Instituto Federal de Educação, Ciência e Tecnologia do Mato Grosso",http://www.ifmt.edu.br,Maristela Abadia Guimarães,"Av. Senador Filinto Muller, 953,Térreo - Bairro Duque de Caxias",78043400,Cuiabá,MT,65,36164155,sic@ifmt.edu.br
"IFNMG – Instituto Federal de Educação, Ciência e Tecnologia do Norte de Minas Gerais",http://www.ifnmg.edu.br,Pedro Borges Pimenta Júnior,"Rua Coronel Luis Pires, nº. 202 - Gabinete, Centro",39400106,Montes Claros,MG,38,32013086,sic@ifnmg.edu.br
"IFPA – Instituto Federal de Educação, Ciência e Tecnologia do Pará",http://www.ifpa.edu.br,Cleide do Socorro Marcos da Silva Dias,"AV. João Paulo II, 514",66645240,Belém,PA,91,33420599,sic@ifpa.edu.br
"IFPB – Instituto Federal de Educação, Ciência e Tecnologia da Paraíba",http://www.ifpb.edu.br/acessoainformacao,Francisco Fernandes Pinheiro,"Av. João da Mata, 256, Jaguaribe.",58015020,João Pessoa,PB,83,36129704,francisco.pinheiro@ifpb.edu.br
"IFPE – Instituto Federal de Educação, Ciência e Tecnologia de Pernambuco",http://reitoria.ifpe.edu.br/acesso,JEANE ÉMILI DE MEDEIROS,"Av. Prof Luiz Freire, 500",50740540,Recife,PE,81,21251760,sic@reitoria.ifpe.edu.br
"IFPI – Instituto Federal de Educação, Ciência e Tecnologia do Piauí",http://www.ifpi.edu.br,Gilvanete Azevedo Ferreira,"Avenida Jânio Quadros, 330, Santa Isabel",64053390,Teresina,PI,86,31311425,sic@ifpi.edu.br
"IFPR – Instituto Federal de Educação, Ciência e Tecnologia do Paraná",http://reitoria.ifpr.edu.br/menu-institucional/acesso-a-informacao/,Marcelo Rodrigues da Silva,Avenida Victor Ferreira do Amaral,82530230,Curitiba,PR,41,35957623,acessoainformacao@ifpr.edu.br
"IFRJ – Instituto Federal de Educação, Ciência e Tecnologia do Rio de Janeiro",http://www.ifrj.edu.br/acessoainformacao,JOSÉ CARLOS BEKER,"RUA PEREIRA DE ALMEIDA 88, PÇA DA BANDEIRA - RJ",20260100,Rio de Janeiro,RJ,21,32936020,sic@ifrj.edu.br
"IFRN – Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte",http://portal.ifrn.edu.br/acessoainformacao,Walkyria de Oliveira Rocha Teixeira,"RUA NILO BEZERRA RAMALHO, 1692 - TIROL",59015300,Natal,RN,84,40050798,sic@ifrn.edu.br
"IFRO – Instituto Federal de Educação, Ciência e Tecnologia de Rondônia",http://www.ifro.edu.br/Acessoainformacao,Maria Fabiola Moraes da Assumpcao Santos,"Av. Governador Jorge Teixeira, 3500 - Bairro Setor Industrial",76821064,Porto Velho,RO,69,2182965,prodin@ifro.edu.br
"IFRR – Instituto Federal de Educação, Ciência e Tecnologia de Roraima",http://www.ifrr.edu.br/acessoainformacao,Leidilene Moura Sindeaux,"Rua Fernão Dias Paes Leme, 11 - Calungá",69303220,Boa Vista,RR,95,36241702,sic@ifrr.edu.br
"IFRS – Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",http://www.ifrs.edu.br/acessoainformacao,Amilton de Moura Figueiredo,"Rua General Osório, 348 - Gabinete da Reitoria - Centro",95700086,Bento Gonçalves,RS,54,34493343,sic@ifrs.edu.br
"IFSC – Instituto Federal de Educação, Ciência e Tecnologia de Santa Catarina",http://www.ifsc.edu.br,Adriana Braga Gomes,Rua 14 de Julho 150 - Enseada dos marinheiros - Bairro Coqueiros,88075010,Florianópolis,SC,48,38779082,sic@ifsc.edu.br
"IFSE – Instituto Federal de Educação, Ciência e Tecnologia de Sergipe",http://www.ifs.edu.br/,FERNANDO FONTES SANTOS,"Avenida Jorge Amado, 1551 - Loteamento Garcia Bairro Jardins",49025330,Aracaju,SE,79,37111402,ouvidoria.reitoria@ifs.edu.br
"IFSP – Instituto Federal de Educação, Ciência e Tecnologia de São Paulo",http://www.ifsp.edu.br/acessoainformacao,ANDRÉ LUIZ DA SILVA,"R. Pedro Vicente, 625, Canindé",1109010,São Paulo,SP,11,37754597,autoridadesic@ifsp.edu.br
"IFSPE – Instituto Federal de Educação, Ciência e Tecnologia do Sertão Pernambucano",http://www.ifsertao-pe.edu.br/acessoainformacao/,Maria Dionisia dos Santos,"Rua Cel. Amorim, nº 76",56302320,Petrolina,PE,87,21012387,dionisia.santos@ifsertao-pe.edu.br
"IFSul – Instituto Federal de Educação, Ciência e Tecnologia Sul-Rio-Grandense",http://www.ifsul.edu.br/,Adriane Maria Delgado Menezes,"Gonçalves Chaves, 3218",96015560,Pelotas,RS,53,30266062,sic@ifsul.edu.br
"IFSULDEMINAS – Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais",http://www.ifsuldeminas.edu.br/acessoainformacao,Joarle Soares Magalhães,"Avenida Vicente Simões, 1111 - Bairro Nova Pouso Alegre",37550000,Pouso Alegre,MG,35,34496197,chefedegabinete@ifsuldeminas.edu.br
"IFTM – Instituto Federal de Educação, Ciência e Tecnologia do Triângulo Mineiro",http://www.iftm.edu.br/acesso-a-informacao/sic/,Cinthia Franzin Sousa,Av. Doutor Randolfo Borges Júnior nº 2900 – Univerdecidade,38064300,Uberaba,MG,34,33261134,sic@iftm.edu.br
"IFTO – Instituto Federal de Educação, Ciência e Tecnologia do Tocantins",http://www.ifto.edu.br,Joelma Oliveira Lima,"Avenida Joaquim Teotônio Segurado, Quadra 202 sul, ACSU-SE 20, Conjunto 01, Lote 08 Plano Diretor Sul Palmas, Tocantins - Brasil",77020450,Palmas,TO,63,32292200,sic@ifto.edu.br
IMBEL – Indústria de Material Bélico do Brasil,http://www.imbel.gov.br,AMERICO PAYSAN VALDETARO FILHO,IMBEL-QGEx - Bloco H - 3º andar - SMU,70630901,Brasília,DF,61,34155825,sic@imbel.gov.br
IN – Imprensa Nacional,http://www.in.gov.br/Acesso,ALEXANDRE MIRANDA MACHADO,SIG Quadra 6 Lote 800,70610460,Brasília,DF,61,34419806,sic@in.gov.br
INB – Indústrias Nucleares do Brasil S.A.,http://www.inb.gov.br,Mário Teixeira de Moura,"Rod. Presidente Dutra, Km 330",27555000,Resende,RJ,24,33218654,sic@inb.gov.br
INCRA – Instituto Nacional de Colonização e Reforma Agrária,http://www.incra.gov.br/SIC,Fabíola Navajas Moreira,"SBN, Edifício Palácio do Desenvolvimento, 18º andar, sala 1813",70057900,Brasília,DF,61,34117208,sic.lai@incra.gov.br
INEP – Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,http://portal.inep.gov.br/web/acesso-a-informacao/,Giovanni Silva Paiva,"Ouvidoria - SIG Quadra 4, Lote 327, Térreo, Ala B, Centro Corporativo Villa Lobos",70610908,Brasília,DF,61,20223044,sic@inep.gov.br
INES – Instituto Nacional de Educação de Surdos,http://www.ines.gov.br/institucional/Paginas/transparenciapublica.aspx,MARCELO FERREIRA DE VASCONCELOS CAVALCANTI,"RUA DAS LARANJEIRAS, 232 - Bairro Laranjeiras",22240003,Rio de Janeiro,RJ,21,22855107,dirge@ines.gov.br
INFRAERO – Empresa Brasileira de Infra-Estrutura Aeroportuária,http://www.infraero.gov.br/index.php/br/acesso-a-informacao.html,SHIRLEIDE MORETO DE LIMA XAVIER,"Estrada Parque Aeroporto, Lote 5, Ed. Sede, Setor de Concessionárias e Locadoras",71608050,Brasília,DF,61,33123483,sic@infraero.gov.br
"INMETRO – Instituto Nacional de Metrologia, Qualidade e Tecnologia",http://inmetro.gov.br/acessoainformacao/,MARCIA ANDREIA DA SILVA ALMEIDA,"Rua Santa Alexandrina, 416 – Térreo",20261232,Rio de Janeiro,RJ,21,25632951,sic@inmetro.gov.br
INPA – Instituto Nacional de Pesquisas da Amazônia,http://www.inpa.gov.br,JOSÉ LAURINDO CAMPOS DOS SANTOS,"Avenida Andre Araújo, 2936 - Bairro Aleixo",69060001,Manaus,AM,92,36433036,sic@inpa.gov.br
INPE-MCT – Instituto Nacional de Pesquisas Espaciais,http://www.inpe.br/acessoainformacao,Maria Virgínia Alves,"Av. dos Astronautas, 1758 - Bairro Jardim da Granja",12227010,São José dos Campos,SP,12,32086034,sic@inpe.br
INPI – Instituto Nacional da Propriedade Industrial,http://www.inpi.gov.br/acessoainformação,Marcos Ferreira dos Santos Jaron,"Rua São Bento, nº 1 - Centro",20090010,Rio de Janeiro,RJ,21,30373103,sic@inpi.gov.br
INSA – Instituto Nacional do Semi-Árido,http://www.insa.gov.br/acessoainformacao/,Andreia Ponciano de Moraes,"Avenida Francisco Lopes de Almeida S/N, bairro Serrotão",58429970,Campina Grande,PB,83,21046404,sic@insa.gov.br
INSS – Instituto Nacional do Seguro Social,https://portal.inss.gov.br/servico-de-informacao-ao-cidadao-sic/,SERGIO CADO PRADO,SAUS QUADRA 2 BLOCO O 9º ANDAR SALA 901,70070946,Brasília,DF,61,33134065,sic@inss.gov.br
INT – Instituto Nacional de Tecnologia,http://www.int.gov.br/,Denise dos Santos Pacheco,"AV. Venezuela, 82. Sala 416, Bairro Saúde",20081312,Rio de Janeiro,RJ,21,21231278,sic.int@int.gov.br
IPEA – Fundação Instituto de Pesquisa Econômica Aplicada,http://www.ipea.gov.br,Ronald do Amaral Menezes,"SBS Q 01 -  Bl. ""J"" ED. BNDES 18 º ANDAR sala 1811",70076900,Brasília,DF,61,20265261,sic@ipea.gov.br
IPHAN – Instituto do Patrimônio Histórico e Artístico Nacional,http://portal.iphan.gov.br/,Liliane Rodrigues de Araujo,SEPSul EQ 713/913 lote D,70390135,Brasília,DF,61,20245510,sic@iphan.gov.br
ITI – Instituto Nacional de Tecnologia da Informação,http://www.iti.gov.br/twiki/bin/view/Main/acessoainformacao,EDMAR DA SILVA ARAÚJO,SCN Quadra 2 Bloco E - Térreo,70712905,Brasília,DF,61,34243830,sic_iti@iti.gov.br
JBRJ – Instituto de Pesquisas Jardim Botânico do Rio de Janeiro,http://www.jbrj.gov.br/acessoainformacao/acesso.html,Luciana Oertel Lancellotti,"Rua Pacheco Leão, 915 - Gabinete",22460030,Rio de Janeiro,RJ,21,32042523,sic@jbrj.gov.br
LNA – Laboratório Nacional de Astrofísica,http://www.lna.br/Acesso,Clemens Darvin Gneiding,"Rua Estados Unidos, 154",37504364,Itajubá,MG,35,36298104,sic@lna.br
LNCC-MCT – Laboratório Nacional de Computação Científica,http://www.lncc.br,Pedro Leite da Silva Dias,"Av. Getúlio Vargas, 333, Quitandinha",25651075,Petrópolis,RJ,24,22336004,sic@lncc.br
"MAPA – Ministério da Agricultura, Pecuária e Abastecimento",http://www.agricultura.gov.br/Acesso,EUMAR ROBERTO NOVACKI,"Esplanada dos Ministérios, Bloco ""D"", 9º andar",70043900,Brasília,DF,61,32182961,sic.mapa@agricultura.gov.br
MAST – Museu de Astronomia e Ciências Afins,http://www.mast.br/sic_acesso_a_informacao.html,Anelise Pacheco,Rua Gal. Bruce 586,20921030,Rio de Janeiro,RJ,21,35145201,sic@mast.br
MCA/UFBA - Maternidade Climerio de Oliveira,http://www.mco.ufba.br,Maria Jacinta Pereira Veloso,"Rua do Limoeiro ,137,Nazaré",40055150,Salvador,BA,71,32839200,secretaria.mco@ufba.br
MCIDADES – Ministério das Cidades,http://www.acessoainformacao.gov.br/sistema/,Marcelo Montalvão Reis,"SAUS, Quadra 01, Lote 01/06, Edifício Telemundi II, Bloco H, 14º andar",70070010,Brasília,DF,61,21081748,sic@cidades.gov.br
"MCTIC – Ministério da Ciência, Tecnologia, Inovações e Comunicações",http://www.mctic.gov.br,Carlos Alberto Ayupe Vitoi,"Esplanada dos Ministérios, Bloco E sala 500",70067900,Brasília,DF,61,20337622,sic@mctic.gov.br
MD – Ministério da Defesa,http://www.defesa.gov.br/apresentacao,Franselmo Araújo Costa,Esplanada dos Ministérios - Bloco “Q” 1º andar,70049900,Brasília,DF,61,33124224,sic@defesa.gov.br
MDA – Ministério do Desenvolvimento Agrário,http://www.mda.gov.br,Sandra Maria de Oliveira,"Setor Bancário Norte - SBN, Quadra 1, Bloco D, Edifício Palácio do Desenvolvimento, 2º e 6º Andares, Brasília/DF",70057900,Brasília,DF,61,20200822,oksana.guskow@mda.gov.br
MDH – Ministério dos Direitos Humanos,http://www.sdh.gov.br/sobre/acesso-a-informacao,Érica Bezerra Queiroz Ribeiro,"Setor Comercial Sul - B, Quadra 9, Lote C, Ed. Parque Cidade Corporate, Torre ""A"", 10º andar",70308200,Brasília,DF,61,20273900,sic@mdh.gov.br
"MDIC - Ministério da Indústria, Comércio Exterior e Serviços",http://www.mdic.gov.br//sitio/interna/interna.php?area=1&menu=3466,ALEXSANDRO MAIRINK HOFFMAN,"Esplanada dos Ministérios, Bloco ""J"", Sala 804, 8º andar",70053900,Brasília,DF,61,20278286,sic@mdic.gov.br
MDS – Ministério do Desenvolvimento Social,http://www.mds.gov.br/Acessoainformacao,Tatiana Barbosa de Alvarenga,"Esplanada dos Ministérios, Bloco A",70046900,Brasília,DF,61,20301430,sic@mds.gov.br
ME – Ministério do Esporte,http://www.esporte.gov.br,Nádia Araújo Rodrigues,"Setor de Indústrias Gráficas-SIG – Q. 4 – L. 83, Centro Empresarial Capital Center - Bloco C Sala 9",70610440,Brasília,DF,61,32171962,sic@esporte.gov.br
MEAC - Maternidade Escola Assis Chateaubriand,http://www.meac.ufc.br/,EDILENE MARIA VASCONCELOS RIBEIRO,"Rua Coronel Nunes de Melo, S/N Rodolfo Teófilo",60430270,Fortaleza,CE,85,33668572,ouvidoria.meac@ebserh.gov.br
MEC – Ministério da Educação,http://portal.mec.gov.br/index.php,Felipe Sartori Sigollo,"Esplanada dos Ministérios Bl. L  ed. Sede, 7º andar",70047900,Brasília,DF,61,20227850,sic@mec.gov.br
MEJC - Maternidade Escola Januário Cicco UFRN,http://www.ebserh.gov.br,Antônio Sérgio Mesquita da Silva,"Av. Nilo Peçanha, 259 – Petrópolis",59012300,Natal,RN,84,92240080,ouvidoria.mejc@ebserh.gov.br
MF – Ministério da Fazenda,http://www.fazenda.gov.br/,Carlos Augusto Moreira Araujo,SAS Quadra 6 - Bloco O - Ed. Órgãos Centrais - 2º andar,70070917,Brasília,DF,61,34125064,sic.mf@fazenda.gov.br
MGEP-MCT – Museu Paraense Emílio Goeldi,http://www.museu-goeldi.br,Pablo Cristiano da Silva Borges,"Avenida Magalhães Barata, 376 - São Brás",66040170,Belém,PA,91,32176061,ouvidoria@museu-goeldi.br
MI – Ministério da Integração Nacional,http://www.integracao.gov.br/Acesso,Sérgio Nogueira Seabra,"Esplanada dos Ministérios, Bloco E, 6º andar, sala 612",70067901,Brasília,DF,61,20345700,sic@integracao.gov.br
MinC – Ministério da Cultura,http://www.cultura.gov.br/Acesso,CARLOS ALBERTO BATISTA DA SILVA JÚNIOR,"Esplanada dos Ministérios, Bloco B, 3º andar.",70068900,Brasília,DF,61,20242496,sic@cultura.gov.br
MJ – Ministério da Justiça,http://www.justica.gov.br/Acesso/institucional,José Levi Mello do Amaral Júnior,"Esplanada dos Ministérios, Bloco ""T"", 3º andar, Sala 300-A",70064900,Brasília,DF,61,20253277,sic@mj.gov.br
MMA – Ministério do Meio Ambiente,http://www.mma.gov.br/Acesso,Marcos Mesquita Filho,"Esp. dos Ministérios, Bloco “B”, 5º andar, sala 536, Edifício Sede do Ministério do Meio Ambiente",70068900,Brasília,DF,61,20281525,sic@mma.gov.br
